,precision,recall,f1-score,support
0,0.0,0.0,0.0,10.0
1,0.8974358974358975,0.813953488372093,0.8536585365853658,43.0
2,0.968421052631579,0.92,0.9435897435897436,100.0
3,0.8055555555555556,0.9666666666666667,0.8787878787878788,30.0
4,0.0,0.0,0.0,6.0
5,0.19827586206896552,1.0,0.33093525179856115,46.0
6,0.0,0.0,0.0,6.0
7,1.0,0.3,0.46153846153846156,20.0
8,0.7111111111111111,0.6808510638297872,0.6956521739130435,47.0
9,1.0,0.7307692307692307,0.8444444444444444,52.0
10,0.0,0.0,0.0,7.0
11,0.7333333333333333,0.2619047619047619,0.38596491228070173,42.0
12,0.0,0.0,0.0,29.0
13,0.0,0.0,0.0,14.0
14,1.0,0.8867924528301887,0.94,53.0
15,0.68,0.8947368421052632,0.7727272727272727,38.0
16,1.0,0.8709677419354839,0.9310344827586207,62.0
17,1.0,0.8392857142857143,0.912621359223301,56.0
18,0.0,0.0,0.0,9.0
19,1.0,0.40425531914893614,0.5757575757575758,47.0
20,0.0,0.0,0.0,18.0
21,0.0,0.0,0.0,19.0
22,0.22413793103448276,0.26,0.24074074074074073,50.0
23,0.0,0.0,0.0,17.0
24,0.0,0.0,0.0,25.0
25,1.0,0.9166666666666666,0.9565217391304348,48.0
26,0.4880952380952381,0.9318181818181818,0.640625,44.0
27,0.0,0.0,0.0,15.0
28,0.0,0.0,0.0,50.0
29,0.0,0.0,0.0,13.0
30,1.0,0.9622641509433962,0.9807692307692307,53.0
31,0.0,0.0,0.0,7.0
32,0.0,0.0,0.0,8.0
accuracy,0.5894833948339483,0.5894833948339483,0.5894833948339483,0.5894833948339483
macro avg,0.4153444236747322,0.38305855397807176,0.37410208497107195,1084.0
weighted avg,0.629579810355053,0.5894833948339483,0.5792385003947851,1084.0
