,Class,Precision,Recall,F1-Score,Precision CI,Recall CI,F1-Score CI,Support
0,Class 0,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2775)","(np.float64(0.0), np.float64(0.0))",10
1,Class 1,0.9211,0.814,0.8642,"(0.792, 0.9728)","(0.6738, 0.9026)","(np.float64(0.7834), np.float64(0.945))",43
2,Class 2,0.9684,0.92,0.9436,"(0.9112, 0.9892)","(0.85, 0.9589)","(np.float64(0.9082), np.float64(0.979))",100
3,Class 3,0.8056,0.9667,0.8788,"(0.6497, 0.9025)","(0.8333, 0.9941)","(np.float64(0.7942), np.float64(0.9633))",30
4,Class 4,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3903)","(np.float64(0.0), np.float64(0.0))",6
5,Class 5,0.2,1.0,0.3333,"(0.1534, 0.2564)","(0.9229, 1.0)","(np.float64(0.2597), np.float64(0.4069))",46
6,Class 6,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3903)","(np.float64(0.0), np.float64(0.0))",6
7,Class 7,1.0,0.3,0.4615,"(0.6097, 1.0)","(0.1455, 0.519)","(np.float64(0.2238), np.float64(0.6993))",20
8,Class 8,0.6957,0.6809,0.6882,"(0.5519, 0.8092)","(0.5383, 0.796)","(np.float64(0.5798), np.float64(0.7965))",47
9,Class 9,1.0,0.7308,0.8444,"(0.9082, 1.0)","(0.5975, 0.8323)","(np.float64(0.7629), np.float64(0.926))",52
10,Class 10,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3543)","(np.float64(0.0), np.float64(0.0))",7
11,Class 11,0.7333,0.2619,0.386,"(0.4805, 0.891)","(0.153, 0.4107)","(np.float64(0.2251), np.float64(0.5469))",42
12,Class 12,0.0,0.0,0.0,"(0.0, 0.031)","(0.0, 0.117)","(np.float64(0.0), np.float64(0.0))",29
13,Class 13,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2153)","(np.float64(0.0), np.float64(0.0))",14
14,Class 14,1.0,0.8868,0.94,"(0.9244, 1.0)","(0.7742, 0.9471)","(np.float64(0.8906), np.float64(0.9894))",53
15,Class 15,0.68,0.8947,0.7727,"(0.5419, 0.7924)","(0.7587, 0.9583)","(np.float64(0.6749), np.float64(0.8705))",38
16,Class 16,1.0,0.871,0.931,"(0.9336, 1.0)","(0.7655, 0.9331)","(np.float64(0.8818), np.float64(0.9803))",62
17,Class 17,1.0,0.8393,0.9126,"(0.9244, 1.0)","(0.7219, 0.9131)","(np.float64(0.8543), np.float64(0.971))",56
18,Class 18,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2991)","(np.float64(0.0), np.float64(0.0))",9
19,Class 19,1.0,0.4043,0.5758,"(0.8318, 1.0)","(0.2764, 0.5466)","(np.float64(0.4336), np.float64(0.7179))",47
20,Class 20,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.1759)","(np.float64(0.0), np.float64(0.0))",18
21,Class 21,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.1682)","(np.float64(0.0), np.float64(0.0))",19
22,Class 22,0.2241,0.26,0.2407,"(0.1359, 0.3466)","(0.1587, 0.3955)","(np.float64(0.133), np.float64(0.3485))",50
23,Class 23,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.1843)","(np.float64(0.0), np.float64(0.0))",17
24,Class 24,0.0,0.0,0.0,"(0.0, 0.5615)","(0.0, 0.1332)","(np.float64(0.0), np.float64(0.0))",25
25,Class 25,1.0,0.9167,0.9565,"(0.9197, 1.0)","(0.8045, 0.9671)","(np.float64(0.9126), np.float64(1.0004))",48
26,Class 26,0.4767,0.9318,0.6308,"(0.3745, 0.581)","(0.8177, 0.9765)","(np.float64(0.5337), np.float64(0.7278))",44
27,Class 27,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2039)","(np.float64(0.0), np.float64(0.0))",15
28,Class 28,0.0,0.0,0.0,"(0.0, 0.7935)","(0.0, 0.0713)","(np.float64(0.0), np.float64(0.0))",50
29,Class 29,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.2281)","(np.float64(0.0), np.float64(0.0))",13
30,Class 30,1.0,0.9623,0.9808,"(0.93, 1.0)","(0.8725, 0.9896)","(np.float64(0.953), np.float64(1.0085))",53
31,Class 31,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3543)","(np.float64(0.0), np.float64(0.0))",7
32,Class 32,0.0,0.0,0.0,"(nan, nan)","(0.0, 0.3244)","(np.float64(0.0), np.float64(0.0))",8
33,micro,0.5895,0.5895,0.5895,"(np.float64(0.5602), np.float64(0.6188))","(np.float64(0.5602), np.float64(0.6188))","(np.float64(0.5602), np.float64(0.6188))",1084
34,macro,,0.3831,0.374,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(0.3607), np.float64(0.3872))",1084
