,precision,recall,f1-score,support
0,1.0,1.0,1.0,10.0
1,1.0,1.0,1.0,43.0
2,1.0,1.0,1.0,100.0
3,1.0,1.0,1.0,30.0
4,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
5,1.0,1.0,1.0,46.0
6,1.0,0.8333333333333334,0.9090909090909091,6.0
7,1.0,1.0,1.0,20.0
8,1.0,1.0,1.0,47.0
9,1.0,1.0,1.0,52.0
10,0.7777777777777778,1.0,0.875,7.0
11,1.0,1.0,1.0,42.0
12,0.9666666666666667,1.0,0.9830508474576272,29.0
13,1.0,1.0,1.0,14.0
14,1.0,1.0,1.0,53.0
15,1.0,1.0,1.0,38.0
16,1.0,1.0,1.0,62.0
17,1.0,1.0,1.0,56.0
18,1.0,1.0,1.0,9.0
19,1.0,1.0,1.0,47.0
20,1.0,1.0,1.0,18.0
21,1.0,1.0,1.0,19.0
22,1.0,1.0,1.0,50.0
23,1.0,1.0,1.0,17.0
24,1.0,1.0,1.0,25.0
25,1.0,1.0,1.0,48.0
26,1.0,1.0,1.0,44.0
27,1.0,1.0,1.0,15.0
28,1.0,1.0,1.0,50.0
29,1.0,0.9230769230769231,0.96,13.0
30,1.0,1.0,1.0,53.0
31,1.0,0.7142857142857143,0.8333333333333334,7.0
32,0.8888888888888888,1.0,0.9411764705882353,8.0
accuracy,0.9953874538745388,0.9953874538745388,0.9953874538745388,0.9953874538745388
macro avg,0.9838383838383838,0.978909978909979,0.9798480270849527,1084.0
weighted avg,0.9959307093070929,0.9953874538745388,0.9953235840672102,1084.0
