,Class,Precision,Recall,F1-Score,Precision CI,Recall CI,F1-Score CI,Support
0,Class 0,1.0,1.0,1.0,"(0.7225, 1.0)","(0.7225, 1.0)","(np.float64(1.0), np.float64(1.0))",10
1,Class 1,1.0,1.0,1.0,"(0.918, 1.0)","(0.918, 1.0)","(np.float64(1.0), np.float64(1.0))",43
2,Class 2,1.0,1.0,1.0,"(0.963, 1.0)","(0.963, 1.0)","(np.float64(1.0), np.float64(1.0))",100
3,Class 3,1.0,1.0,1.0,"(0.8865, 1.0)","(0.8865, 1.0)","(np.float64(1.0), np.float64(1.0))",30
4,Class 4,0.8333,0.8333,0.8333,"(0.4365, 0.9699)","(0.4365, 0.9699)","(np.float64(0.6051), np.float64(1.0616))",6
5,Class 5,1.0,1.0,1.0,"(0.9229, 1.0)","(0.9229, 1.0)","(np.float64(1.0), np.float64(1.0))",46
6,Class 6,1.0,0.8333,0.9091,"(0.5655, 1.0)","(0.4365, 0.9699)","(np.float64(0.7312), np.float64(1.087))",6
7,Class 7,1.0,1.0,1.0,"(0.8389, 1.0)","(0.8389, 1.0)","(np.float64(1.0), np.float64(1.0))",20
8,Class 8,1.0,1.0,1.0,"(0.9244, 1.0)","(0.9244, 1.0)","(np.float64(1.0), np.float64(1.0))",47
9,Class 9,1.0,1.0,1.0,"(0.9312, 1.0)","(0.9312, 1.0)","(np.float64(1.0), np.float64(1.0))",52
10,Class 10,0.7778,1.0,0.875,"(0.4526, 0.9368)","(0.6457, 1.0)","(np.float64(0.7026), np.float64(1.0474))",7
11,Class 11,1.0,1.0,1.0,"(0.9162, 1.0)","(0.9162, 1.0)","(np.float64(1.0), np.float64(1.0))",42
12,Class 12,0.9667,1.0,0.9831,"(0.8333, 0.9941)","(0.883, 1.0)","(np.float64(0.949), np.float64(1.0171))",29
13,Class 13,1.0,1.0,1.0,"(0.7847, 1.0)","(0.7847, 1.0)","(np.float64(1.0), np.float64(1.0))",14
14,Class 14,1.0,1.0,1.0,"(0.9324, 1.0)","(0.9324, 1.0)","(np.float64(1.0), np.float64(1.0))",53
15,Class 15,1.0,1.0,1.0,"(0.9082, 1.0)","(0.9082, 1.0)","(np.float64(1.0), np.float64(1.0))",38
16,Class 16,1.0,1.0,1.0,"(0.9417, 1.0)","(0.9417, 1.0)","(np.float64(1.0), np.float64(1.0))",62
17,Class 17,1.0,1.0,1.0,"(0.9358, 1.0)","(0.9358, 1.0)","(np.float64(1.0), np.float64(1.0))",56
18,Class 18,1.0,1.0,1.0,"(0.7009, 1.0)","(0.7009, 1.0)","(np.float64(1.0), np.float64(1.0))",9
19,Class 19,1.0,1.0,1.0,"(0.9244, 1.0)","(0.9244, 1.0)","(np.float64(1.0), np.float64(1.0))",47
20,Class 20,1.0,1.0,1.0,"(0.8241, 1.0)","(0.8241, 1.0)","(np.float64(1.0), np.float64(1.0))",18
21,Class 21,1.0,1.0,1.0,"(0.8318, 1.0)","(0.8318, 1.0)","(np.float64(1.0), np.float64(1.0))",19
22,Class 22,1.0,1.0,1.0,"(0.9287, 1.0)","(0.9287, 1.0)","(np.float64(1.0), np.float64(1.0))",50
23,Class 23,1.0,1.0,1.0,"(0.8157, 1.0)","(0.8157, 1.0)","(np.float64(1.0), np.float64(1.0))",17
24,Class 24,1.0,1.0,1.0,"(0.8668, 1.0)","(0.8668, 1.0)","(np.float64(1.0), np.float64(1.0))",25
25,Class 25,1.0,1.0,1.0,"(0.9259, 1.0)","(0.9259, 1.0)","(np.float64(1.0), np.float64(1.0))",48
26,Class 26,1.0,1.0,1.0,"(0.9197, 1.0)","(0.9197, 1.0)","(np.float64(1.0), np.float64(1.0))",44
27,Class 27,1.0,1.0,1.0,"(0.7961, 1.0)","(0.7961, 1.0)","(np.float64(1.0), np.float64(1.0))",15
28,Class 28,1.0,1.0,1.0,"(0.9287, 1.0)","(0.9287, 1.0)","(np.float64(1.0), np.float64(1.0))",50
29,Class 29,1.0,0.9231,0.96,"(0.7575, 1.0)","(0.6669, 0.9863)","(np.float64(0.881), np.float64(1.039))",13
30,Class 30,1.0,1.0,1.0,"(0.9324, 1.0)","(0.9324, 1.0)","(np.float64(1.0), np.float64(1.0))",53
31,Class 31,1.0,0.7143,0.8333,"(0.5655, 1.0)","(0.3589, 0.9178)","(np.float64(0.6052), np.float64(1.0614))",7
32,Class 32,0.8889,1.0,0.9412,"(0.565, 0.9801)","(0.6756, 1.0)","(np.float64(0.8255), np.float64(1.0569))",8
33,micro,0.9954,0.9954,0.9954,"(np.float64(0.9914), np.float64(0.9994))","(np.float64(0.9914), np.float64(0.9994))","(np.float64(0.9914), np.float64(0.9994))",1084
34,macro,0.9838,0.9789,0.9798,"(np.float64(0.9746), np.float64(0.993))","(np.float64(0.9674), np.float64(0.9904))","(np.float64(0.9693), np.float64(0.9904))",1084
